item_kind,item_id,stratum,judge,judged_at,is_real_news_about_real_company,is_right_company,is_category_correct,precision_ok_for_source_floor,venture_band,baseline_fields_ok,resolution_verified,confidence_decile,registry_linkage_ok,fact_type_correct,amount_within_20pct_or_estimated,investors_real_and_attributed,date_within_14d,reject_reason_coherent,summary_fully_faithful,cluster_pure,cluster_split_missed,representative_best_tier,listgen_precision_at_limit,interpreted_filters_match_intent,notes
article,art_01M0KKCCB9ZC9RG2GCPQGMKW2S,tier:3|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0KKQDC3Q0J7QGBZWSSW2G9E,tier:3|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0KMV6SXH0SM9X8KFSE08VFN,tier:1|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0KMVPYZB131T8EQV4X7Q6CB,tier:2|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0KNRC52ZBKHW9KT3QMGG773,tier:3|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0KNS672A0JVQDW11X4QC47B,tier:3|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0KWWJ8T7MD4HQZ0EJYXPNSF,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0KWZGKSE1G06H6RC1YRN2ZK,tier:?|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0KX2BPXMRNEBCQ001QXGS4T,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M250FG4QW701YEFB51YDA8,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M28RBNKZ1CYAJC7K8RSZDP,tier:?|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M2CQDZ4JZGHM54MVR44Y6E,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M375A3XZMTBR1WX0M4T3E5,tier:3|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M38TGGT7CMM9BXZC89YVTZ,tier:?|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M3A6B8YBM2DNRPXB732KWB,tier:1|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M3AQ3K34MQ2YEW1ZY6RCJ8,tier:3|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M3M1MFQFFK7P3ZNACY44S4,tier:1|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M3MN6NRZFJ1J7NJEMRBPX7,tier:1|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M3NDRMC9EFW6S6NMWJXEET,tier:1|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M3P15A0QKAYENYSDG8ZKRQ,tier:2|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M3PJ1KZA49NWJ4R4YZX2JD,tier:1|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M3PZKA9P0AQDQZFGQ4CNWD,tier:3|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M3QD2VHCYTN6CP6541B23T,tier:3|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M4GY97GP6XMAJCSYXJAZRA,tier:3|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M4HADNBMCWZ9PDDRMEEMWE,tier:1|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_01M0M4HQP4MGD71SJM2Z8KMQRK,tier:1|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
